17,count
salt,50512
butter,20048
sugar,18268
eggs,16926
water,14306
garlic cloves,13900
olive oil,12836
onion,12233
pepper,11566
milk,11566
flour,11440
baking powder,9995
baking soda,9922
egg,8604
vanilla,8592
all-purpose flour,7629
brown sugar,7493
black pepper,7349
vanilla extract,7212
lemon juice,6987
cinnamon,6953
garlic,6906
parmesan cheese,6875
garlic powder,5740
garlic clove,5291
tomatoes,5234
sour cream,4543
honey,4346
celery,4309
unsalted butter,4301
kosher salt,4181
chicken broth,4169
paprika,4168
soy sauce,4166
Worcestershire sauce,4086
chili powder,4003
ground cinnamon,3913
nutmeg,3869
fresh ground black pepper,3863
parsley,3813
cheddar cheese,3741
ground cumin,3687
mayonnaise,3475
carrot,3459
cornstarch,3454
carrots,3418
fresh parsley,3289
granulated sugar,3149
margarine,3063
extra virgin olive oil,3051
cayenne pepper,2969
onions,2931
cream cheese,2929
red onion,2837
heavy cream,2806
pecans,2769
dried oregano,2769
Dijon mustard,2631
walnuts,2544
cumin,2535
sea salt,2516
fresh lemon juice,2469
green onions,2463
green onion,2452
tomato paste,2413
oregano,2402
ground black pepper,2358
bacon,2288
red bell pepper,2285
canola oil,2220
ginger,2183
mozzarella cheese,2118
onion powder,2101
tomato sauce,2096
buttermilk,2094
cilantro,2090
powdered sugar,2073
diced tomatoes,2066
ground ginger,2027
fresh ginger,1988
lemon,1934
dried thyme,1925
fresh cilantro,1906
potatoes,1861
lime juice,1858
dry white wine,1840
ketchup,1794
dried basil,1774
zucchini,1762
fresh basil,1751
vinegar,1738
raisins,1737
green pepper,1737
thyme,1736
cheese,1702
red wine vinegar,1700
fresh ground pepper,1665
white wine,1654
ground nutmeg,1653
crushed red pepper flakes,1638
bay leaf,1618
basil,1612
white pepper,1595
red pepper flakes,1590
dry mustard,1512
light brown sugar,1434
green bell pepper,1421
curry powder,1402
white sugar,1380
fresh thyme,1358
ground allspice,1350
lemon zest,1342
mushrooms,1316
bay leaves,1283
ground beef,1234
ground cloves,1224
whole wheat flour,1222
yellow onion,1222
scallions,1215
black beans,1183
bananas,1170
salsa,1155
cider vinegar,1149
shallot,1146
confectioners' sugar,1145
shortening,1135
white vinegar,1118
celery ribs,1118
half-and-half,1113
sharp cheddar cheese,1110
Tabasco sauce,1072
maple syrup,1057
ground coriander,1035
monterey jack cheese,1012
beef broth,1003
chives,996
cold water,995
feta cheese,990
allspice,989
pure vanilla extract,980
turmeric,967
fresh lime juice,964
sesame seeds,963
plum tomatoes,955
vegetable broth,953
black olives,930
cherry tomatoes,924
lime,924
cucumber,915
shallots,909
cayenne,908
green chilies,893
peanut butter,892
seasoning salt,889
fresh rosemary,882
chocolate chips,882
swiss cheese,852
apple cider vinegar,850
mushroom,844
evaporated milk,841
corn,838
orange zest,829
capers,819
cocoa powder,809
apples,795
rosemary,794
dark brown sugar,793
chicken,792
warm water,785
fresh chives,783
boneless skinless chicken breasts,780
molasses,766
bell pepper,764
red wine,764
banana,761
skim milk,760
chicken breasts,759
scallion,756
rice vinegar,750
boiling water,743
white wine vinegar,743
fresh dill,742
avocado,737
coconut milk,736
fish sauce,735
plain yogurt,733
shrimp,726
flour tortillas,726
lettuce,720
low sodium chicken broth,713
ham,713
barbecue sauce,709
cabbage,699
bread flour,689
mustard,688
flat leaf parsley,687
fresh mushrooms,682
spinach,678
apple,674
dried parsley,674
Cool Whip,671
clove,658
coconut,649
orange,647
pine nuts,646
dry sherry,644
hot water,638
dried cranberries,625
cream of tartar,623
sweet onion,614
of fresh mint,602
sweetened condensed milk,596
ricotta cheese,594
ground pepper,590
vanilla essence,589
heavy whipping cream,589
coconut oil,588
rice,587
green beans,573
rolled oats,567
cornmeal,567
crushed tomatoes,566
celery seed,562
applesauce,557
beer,555
fresh oregano,552
active dry yeast,549
dried rosemary,547
gingerroot,545
broccoli,543
potato,533
crushed pineapple,529
blueberries,523
marjoram,517
plain flour,516
lemons,514
caster sugar,512
icing sugar,508
blue cheese,507
basil leaves,507
prepared mustard,504
panko breadcrumbs,504
red onions,498
lean ground beef,489
coarse salt,487
light corn syrup,485
strawberry,481
frozen corn,473
strawberries,471
dill,468
cinnamon stick,468
brandy,463
cracked black pepper,460
fresh spinach,458
lemon peel,458
sage,456
cooked rice,452
chickpeas,446
Splenda sugar substitute,446
ghee,446
kidney beans,440
pumpkin pie spice,440
poultry seasoning,439
dry red wine,436
red bell peppers,436
chili sauce,434
yellow bell pepper,433
dry yeast,432
pasta,428
corn tortillas,428
cumin seed,425
chopped tomatoes,425
cake flour,422
tortilla chips,421
sherry wine,419
unbleached all-purpose flour,413
mint leaf,412
sweet potatoes,406
peanuts,406
garam masala,405
rum,405
Velveeta cheese,405
mint,403
cloves,402
mustard seeds,402
leeks,400
low sodium soy sauce,395
grape tomatoes,391
black peppercorns,390
romano cheese,389
cinnamon sticks,386
chorizo sausage,380
oyster sauce,379
pumpkin,376
table salt,371
romaine lettuce,367
celery rib,366
ground turkey,360
bell peppers,360
asparagus,358
whole cloves,355
tomato puree,352
dill weed,351
pinto beans,351
fresh strawberries,345
green peppers,344
ground turmeric,343
stewed tomatoes,342
leek,341
ground cardamom,341
yogurt,336
dates,333
limes,333
half-and-half cream,328
raspberries,327
frozen chopped spinach,326
cauliflower,324
peas,324
boneless skinless chicken breast halves,324
sunflower seeds,322
parmigiano-reggiano cheese,322
cottage cheese,319
avocados,319
roma tomatoes,317
fresh coarse ground black pepper,315
prosciutto,310
fresh basil leaf,309
fennel seed,309
pineapple,307
flaked coconut,306
hard-boiled eggs,304
lime zest,301
spaghetti,300
hoisin sauce,295
oats,294
fresh basil leaves,293
liquid smoke,290
oatmeal,290
unsweetened applesauce,289
provolone cheese,289
fresh garlic,284
yellow mustard,281
lemon rind,280
vanilla ice cream,278
diced green chilies,278
creamy peanut butter,277
pumpkin puree,277
soymilk,276
cannellini beans,273
minced garlic cloves,272
dark chocolate,271
nonfat milk,270
tomato juice,268
yellow onions,268
lemon pepper,267
mustard powder,267
caraway seed,266
mango,266
ground pork,265
cornflour,262
dried sage,261
fresh mint leaves,261
gruyere cheese,260
kale,259
green olives,257
whole kernel corn,257
pecan halves,257
salmon fillets,257
fresh sage,256
spring onions,256
lemongrass,254
kalamata olive,253
parsley flakes,253
cooked ham,251
light soy sauce,247
pesto sauce,247
oranges,246
egg substitute,245
pure maple syrup,243
frozen spinach,242
dried marjoram,241
instant yeast,241
russet potatoes,240
Bourbon,240
fresh flat-leaf parsley,238
