22,count
salt,47945
butter,21705
sugar,21029
eggs,16610
garlic cloves,14837
onion,14240
water,13604
olive oil,13129
flour,12578
milk,12521
pepper,10833
baking powder,9845
vanilla,9406
all-purpose flour,9091
garlic,8377
egg,8035
brown sugar,7665
baking soda,7335
vanilla extract,7285
cinnamon,7034
lemon juice,7013
garlic powder,6253
black pepper,5998
garlic clove,5769
parmesan cheese,5528
celery,5485
tomatoes,5204
honey,4846
sour cream,4628
unsalted butter,4524
kosher salt,4079
margarine,3961
soy sauce,3934
ground cinnamon,3917
mayonnaise,3915
Worcestershire sauce,3818
chicken broth,3806
chili powder,3744
paprika,3742
onions,3738
carrot,3515
cheddar cheese,3470
carrots,3412
granulated sugar,3383
cream cheese,3336
nutmeg,3302
parsley,3210
extra virgin olive oil,3084
ground cumin,2959
cornstarch,2930
fresh ground black pepper,2921
red onion,2863
fresh parsley,2777
green onions,2718
heavy cream,2697
cayenne pepper,2615
Dijon mustard,2584
green onion,2527
bacon,2524
pecans,2408
red bell pepper,2401
fresh lemon juice,2398
dried oregano,2376
tomato sauce,2343
sea salt,2279
ginger,2271
fresh ginger,2230
lemon,2224
green pepper,2223
onion powder,2119
cumin,2100
walnuts,2095
tomato paste,2095
mozzarella cheese,2046
oregano,2038
canola oil,1980
ground ginger,1941
powdered sugar,1845
diced tomatoes,1827
ground black pepper,1788
potatoes,1756
lime juice,1744
green bell pepper,1743
cilantro,1724
zucchini,1717
ketchup,1714
vinegar,1708
fresh cilantro,1688
dried thyme,1664
fresh basil,1658
curry powder,1629
raisins,1623
ground nutmeg,1615
dry mustard,1547
cheese,1521
thyme,1505
dry white wine,1502
red wine vinegar,1498
light brown sugar,1485
mushrooms,1483
buttermilk,1423
white sugar,1415
white wine,1413
dried basil,1404
crushed red pepper flakes,1384
basil,1379
shortening,1365
celery ribs,1358
yellow onion,1325
white pepper,1321
ground beef,1288
whole wheat flour,1272
fresh ground pepper,1209
red pepper flakes,1202
bay leaf,1163
cider vinegar,1161
fresh thyme,1159
shallot,1141
lemon zest,1129
bananas,1125
lime,1087
salsa,1077
black beans,1074
white vinegar,1063
scallions,1050
maple syrup,1049
shallots,1047
ground cloves,1043
bay leaves,1040
sharp cheddar cheese,1039
peanut butter,1020
half-and-half,1018
beef broth,1016
fresh lime juice,1016
green chilies,1014
seasoning salt,1013
mushroom,1007
monterey jack cheese,996
confectioners' sugar,992
ground coriander,971
evaporated milk,962
pure vanilla extract,951
chives,948
fresh rosemary,947
cold water,947
black olives,941
bell pepper,931
feta cheese,903
corn,884
Tabasco sauce,879
warm water,864
cocoa powder,864
orange,860
swiss cheese,854
Cool Whip,846
dark brown sugar,841
sweetened condensed milk,831
molasses,828
cherry tomatoes,821
boneless skinless chicken breasts,814
chocolate chips,809
orange zest,808
cucumber,801
vegetable broth,789
sesame seeds,782
banana,775
turmeric,773
chicken breasts,771
boiling water,771
rice vinegar,763
ham,754
cayenne,752
tomato puree,748
scallion,747
avocado,745
cabbage,743
allspice,742
apple cider vinegar,736
fresh dill,730
mustard,726
rosemary,725
apples,721
barbecue sauce,720
chicken,716
skim milk,696
flour tortillas,695
fresh mushrooms,692
red wine,689
coconut,687
capers,686
apple,684
white wine vinegar,683
coconut milk,679
gingerroot,676
fresh chives,664
bread flour,660
pine nuts,660
plain flour,658
lettuce,650
fish sauce,644
lemons,640
hot water,638
crushed pineapple,631
shrimp,624
spinach,615
low sodium chicken broth,611
plain yogurt,610
broccoli,609
caster sugar,606
dried parsley,603
brandy,587
pumpkin pie spice,584
green beans,578
sweet onion,576
ricotta cheese,576
of fresh mint,574
rice,573
crushed tomatoes,572
coconut oil,570
dry sherry,564
potato,564
dried rosemary,553
cinnamon stick,550
coarse salt,541
ground allspice,539
cornmeal,539
rolled oats,535
dried cranberries,530
cream of tartar,528
Splenda sugar substitute,528
beer,525
lean ground beef,523
heavy whipping cream,500
red onions,498
blue cheese,498
ground pepper,497
cake flour,493
prepared mustard,492
light corn syrup,491
strawberries,490
stewed tomatoes,489
kidney beans,485
applesauce,479
fresh oregano,478
frozen corn,472
clove,471
celery seed,470
cumin seed,470
blueberries,469
cinnamon sticks,467
active dry yeast,465
basil leaves,453
flat leaf parsley,452
cottage cheese,449
limes,447
sherry wine,446
fresh spinach,441
chili sauce,436
white flour,434
strawberry,431
lemon peel,428
chopped tomatoes,427
green peppers,426
red bell peppers,426
celery rib,424
whole cloves,424
self-raising flour,420
leeks,417
cracked black pepper,417
low sodium soy sauce,415
boneless skinless chicken breast halves,414
sweet potatoes,410
dill,409
poultry seasoning,408
plum tomatoes,408
pineapple,407
fresh garlic,406
frozen chopped spinach,404
prosciutto,401
leek,395
yellow bell pepper,394
cooked rice,392
flaked coconut,387
panko breadcrumbs,384
sage,384
vanilla ice cream,383
fresh strawberries,382
fresh coarse ground black pepper,382
hard-boiled eggs,381
bell peppers,381
pinto beans,377
Velveeta cheese,370
black peppercorns,370
ground cardamom,368
creamy peanut butter,366
peanuts,366
icing sugar,363
sunflower seeds,363
unbleached all-purpose flour,361
table salt,361
rum,359
cauliflower,357
avocados,356
asparagus,354
provolone cheese,351
cloves,348
hoisin sauce,344
tomato juice,343
chickpeas,342
raspberries,342
whole kernel corn,336
spring onions,335
yellow onions,333
dates,333
vegetable shortening,331
ground turkey,329
ground pork,328
ground turmeric,327
oats,325
dill weed,324
lime zest,324
cornflour,321
light soy sauce,320
caraway seed,320
roma tomatoes,320
vanilla essence,320
lemon rind,318
grape tomatoes,315
fresh sage,314
oranges,313
dry red wine,312
pasta,312
mustard seeds,312
egg substitute,312
soymilk,310
peas,309
arborio rice,309
mint,307
minced garlic cloves,307
mustard powder,305
half-and-half cream,303
pumpkin,302
nonfat milk,301
fresh basil leaves,300
pesto sauce,293
fresh basil leaf,292
oatmeal,291
salmon fillets,290
fennel seed,289
corn tortillas,289
romano cheese,289
spaghetti,288
button mushrooms,287
green bell peppers,287
dark chocolate,287
unsweetened applesauce,286
liquid smoke,286
American cheese,286
frozen spinach,286
tortilla chips,285
yogurt,284
parsley flakes,283
Bourbon,283
diced green chilies,282
lemongrass,279
romaine lettuce,278
cooked ham,277
yellow mustard,275
garam masala,275
green olives,275
oyster sauce,274
dark rum,273
lemon pepper,271
golden raisin,270
horseradish,270
kalamata olive,269
dried dill,267
parmigiano-reggiano cheese,266
chocolate,263
whole tomatoes,263
fresh mint leaves,261
vanilla bean,257
boneless skinless chicken breast,257
graham cracker crumbs,257
bittersweet chocolate,256
Splenda granular,255
sweet paprika,254
bean sprouts,253
corn syrup,253
pumpkin puree,253
light mayonnaise,251
sweet potato,250
low-fat milk,250
monterey jack pepper cheese,250
Miracle Whip,248
eggplant,248
tahini,246
cashews,243
mirin,243
mango,243
catsup,241
marjoram,240
turmeric powder,239
kale,239
sun-dried tomato,238
wheat germ,238
tarragon,237
cucumbers,237
gruyere cheese,236
ghee,235
artificial sweetener,234
artichoke hearts,234
light sour cream,232
fresh blueberries,232
dried tarragon,232
broccoli florets,231
fresh tarragon,231
beef,230
red chili powder,229
dried sage,229
pecan halves,226
cannellini beans,226
powdered milk,226
creme fraiche,226
pistachios,225
marshmallows,225
ground mustard,225
red kidney beans,224
maraschino cherries,223
chicken breast,223
apple cider,223
chicken thighs,222
orange marmalade,221
sun-dried tomatoes,221
peppercorns,220
unflavored gelatin,219
quick-cooking oats,218
red chilies,217
russet potatoes,217
chicken bouillon cubes,217
dried marjoram,216
