14,count
salt,45229
butter,23653
sugar,23351
onion,20045
eggs,19223
garlic cloves,18449
water,14684
olive oil,12854
flour,12815
milk,12521
garlic,11815
baking powder,8780
egg,8718
brown sugar,8672
vanilla,8558
pepper,8292
all-purpose flour,7292
baking soda,7229
lemon juice,7186
celery,7153
garlic clove,6538
cinnamon,6176
vanilla extract,5887
garlic powder,5730
honey,5573
parmesan cheese,5403
tomatoes,5381
onions,5160
margarine,5003
black pepper,4750
sour cream,4504
unsalted butter,4163
cream cheese,4103
carrot,4075
mayonnaise,3972
soy sauce,3956
carrots,3837
ground cinnamon,3782
cheddar cheese,3654
Worcestershire sauce,3243
granulated sugar,3220
kosher salt,3169
red onion,3160
chicken broth,3122
extra virgin olive oil,3095
chili powder,3081
paprika,2992
cornstarch,2911
green onions,2888
green pepper,2886
green onion,2727
red bell pepper,2637
bacon,2586
parsley,2583
Dijon mustard,2492
ground cumin,2483
fresh parsley,2443
heavy cream,2381
nutmeg,2367
fresh ground black pepper,2341
fresh lemon juice,2271
fresh ginger,2253
lemon,2238
pecans,2226
green bell pepper,2203
ginger,2113
tomato sauce,2108
potatoes,2086
cayenne pepper,2052
mozzarella cheese,2046
sea salt,2013
walnuts,1874
powdered sugar,1808
zucchini,1808
canola oil,1801
lime juice,1782
onion powder,1776
dried oregano,1749
diced tomatoes,1687
ketchup,1653
ground ginger,1642
cumin,1625
vinegar,1625
oregano,1598
white sugar,1598
yellow onion,1579
mushrooms,1557
tomato paste,1548
fresh cilantro,1525
celery ribs,1507
ground black pepper,1471
curry powder,1435
cilantro,1429
raisins,1427
ground beef,1395
shortening,1381
shallot,1362
light brown sugar,1343
red wine vinegar,1338
cheese,1327
cider vinegar,1307
dry mustard,1300
fresh basil,1267
shallots,1262
dried thyme,1256
white wine,1232
bananas,1213
lime,1199
buttermilk,1183
dried basil,1167
salsa,1151
lemon zest,1116
scallions,1112
black beans,1095
evaporated milk,1090
dry white wine,1081
crushed red pepper flakes,1080
thyme,1070
bell pepper,1063
maple syrup,1062
cold water,1061
fresh lime juice,1059
ground nutmeg,1056
fresh thyme,1049
whole wheat flour,1024
mushroom,1013
peanut butter,1008
molasses,1004
half-and-half,1001
green chilies,992
white vinegar,988
banana,983
basil,981
confectioners' sugar,979
sharp cheddar cheese,978
cocoa powder,976
cucumber,964
fresh ground pepper,955
orange,954
sweetened condensed milk,953
Cool Whip,947
monterey jack cheese,943
boiling water,930
