13,count
salt,38102
sugar,29679
onion,27947
butter,26921
eggs,19810
garlic cloves,16691
water,16154
olive oil,14003
milk,12598
flour,12381
brown sugar,11816
baking powder,11139
garlic,10747
egg,9397
celery,7787
baking soda,7414
lemon juice,7201
all-purpose flour,7140
garlic clove,6827
onions,6520
margarine,6047
pepper,5888
honey,5670
vanilla,5517
cinnamon,5201
parmesan cheese,5029
tomatoes,4964
garlic powder,4963
sour cream,4641
vanilla extract,4393
carrot,4360
mayonnaise,4299
cream cheese,4261
granulated sugar,4197
carrots,4163
soy sauce,4018
unsalted butter,3874
red onion,3739
black pepper,3648
cheddar cheese,3536
kosher salt,3468
extra virgin olive oil,3272
cornstarch,3133
green pepper,3063
ground cinnamon,2942
Worcestershire sauce,2911
bacon,2891
green onions,2868
green onion,2850
Dijon mustard,2661
chicken broth,2537
red bell pepper,2532
chili powder,2530
green bell pepper,2441
fresh lemon juice,2391
paprika,2347
heavy cream,2276
fresh ginger,2228
potatoes,2195
powdered sugar,2182
white sugar,2168
mozzarella cheese,2099
ground cumin,2017
pecans,2013
lemon,1978
lime juice,1955
parsley,1883
yellow onion,1865
canola oil,1829
fresh parsley,1826
light brown sugar,1810
fresh ground black pepper,1791
zucchini,1778
sea salt,1776
ginger,1755
tomato sauce,1740
walnuts,1685
ketchup,1663
vinegar,1598
onion powder,1530
celery ribs,1512
ground beef,1474
mushrooms,1453
shallot,1449
shallots,1443
nutmeg,1428
raisins,1424
diced tomatoes,1410
cayenne pepper,1376
tomato paste,1351
shortening,1351
red wine vinegar,1314
dried oregano,1312
cheese,1306
cumin,1306
fresh cilantro,1288
boiling water,1243
peanut butter,1241
curry powder,1240
cilantro,1231
evaporated milk,1230
ground ginger,1229
salsa,1210
bell pepper,1197
cider vinegar,1184
green chilies,1151
scallions,1138
banana,1136
fresh basil,1135
ground black pepper,1113
maple syrup,1110
black beans,1103
mushroom,1088
lime,1087
buttermilk,1081
sweetened condensed milk,1081
confectioners' sugar,1072
fresh lime juice,1058
white vinegar,1053
molasses,1051
oregano,1049
bananas,1046
white wine,1043
cucumber,1028
cold water,1020
cream of tartar,1014
swiss cheese,1007
light corn syrup,1003
cocoa powder,994
half-and-half,990
dry mustard,990
fresh mushrooms,987
monterey jack cheese,987
dark brown sugar,984
whole wheat flour,978
sharp cheddar cheese,967
caster sugar,946
seasoning salt,946
sweet onion,923
skim milk,914
lemon zest,911
dry white wine,908
dried thyme,902
warm water,893
orange,890
fresh thyme,884
ham,861
boneless skinless chicken breasts,829
dried basil,824
barbecue sauce,811
crushed pineapple,800
fresh rosemary,795
cherry tomatoes,792
corn,789
apple,770
rice vinegar,767
Cool Whip,760
crushed red pepper flakes,758
chicken breasts,756
Splenda sugar substitute,750
black olives,746
fresh ground pepper,744
scallion,742
thyme,741
feta cheese,740
ground nutmeg,740
lemons,724
ricotta cheese,722
orange zest,719
gingerroot,713
basil,711
chicken,711
white wine vinegar,710
sesame seeds,705
apples,704
beef broth,697
pure vanilla extract,696
cornmeal,686
red onions,681
apple cider vinegar,679
hot water,662
red pepper flakes,661
leeks,661
broccoli,650
white pepper,643
bay leaf,643
avocado,640
strawberries,634
plain yogurt,630
cabbage,630
potato,626
bay leaves,625
chives,625
coconut milk,619
vanilla ice cream,617
lean ground beef,616
shrimp,610
mustard,607
plain flour,605
leek,603
spinach,596
active dry yeast,595
pine nuts,591
green peppers,580
rosemary,580
green beans,578
dry sherry,577
chocolate chips,575
lettuce,574
brandy,562
rice,561
beer,561
red bell peppers,561
artificial sweetener,553
blue cheese,552
vegetable broth,544
dried cranberries,544
cinnamon stick,540
ground coriander,528
coconut,526
creamy peanut butter,521
fresh dill,508
bread flour,507
applesauce,501
flour tortillas,499
red wine,497
celery rib,495
fresh garlic,494
Splenda granular,491
strawberry,491
heavy whipping cream,487
yellow onions,485
limes,481
rolled oats,480
corn syrup,480
capers,474
icing sugar,473
cinnamon sticks,473
coarse salt,471
fresh chives,468
chili sauce,468
fish sauce,464
dried rosemary,462
turmeric,458
Velveeta cheese,457
Tabasco sauce,456
rum,453
cottage cheese,453
prepared mustard,452
kidney beans,449
oranges,449
pineapple,446
ground cloves,444
bell peppers,441
