18,count
salt,48704
butter,19024
sugar,16156
pepper,15837
water,14640
eggs,14243
milk,11927
olive oil,10823
flour,9663
baking soda,9450
black pepper,8735
onion,8332
parmesan cheese,8314
garlic cloves,8233
egg,8141
baking powder,7867
vanilla,7563
cinnamon,7456
brown sugar,6970
vanilla extract,6895
lemon juice,6699
all-purpose flour,6211
sour cream,5965
tomatoes,5633
garlic,5236
garlic powder,5045
fresh ground black pepper,4756
parsley,4648
fresh parsley,4609
nutmeg,4559
chicken broth,4415
Worcestershire sauce,4406
chili powder,4379
cayenne pepper,4276
paprika,4271
cheddar cheese,4244
cornstarch,4089
honey,3918
unsalted butter,3830
pecans,3792
walnuts,3745
ground cinnamon,3710
soy sauce,3703
kosher salt,3627
heavy cream,3318
garlic clove,3252
margarine,3223
ground cumin,3043
dried oregano,2983
extra virgin olive oil,2871
powdered sugar,2870
granulated sugar,2782
buttermilk,2779
celery,2763
carrots,2710
cumin,2651
oregano,2613
cream cheese,2577
tomato paste,2524
ground black pepper,2497
carrot,2493
mayonnaise,2483
canola oil,2459
Dijon mustard,2450
dried thyme,2447
bay leaf,2437
mozzarella cheese,2423
green onions,2400
raisins,2317
cilantro,2308
fresh cilantro,2261
green onion,2253
fresh lemon juice,2252
tomato sauce,2248
onions,2244
sea salt,2195
thyme,2148
red onion,2130
fresh ground pepper,2112
fresh basil,2108
bacon,2105
basil,2084
ground ginger,2019
white pepper,1972
dried basil,1971
ground nutmeg,1966
ginger,1962
bay leaves,1919
lemon,1882
diced tomatoes,1848
vinegar,1842
dry white wine,1796
crushed red pepper flakes,1756
red wine vinegar,1756
ground cloves,1718
chocolate chips,1701
red bell pepper,1666
confectioners' sugar,1642
zucchini,1637
potatoes,1632
onion powder,1628
ketchup,1628
red pepper flakes,1614
white wine,1609
lime juice,1597
cheese,1497
fresh thyme,1490
dry mustard,1477
fresh ginger,1458
monterey jack cheese,1409
lemon zest,1379
half-and-half,1371
Tabasco sauce,1367
curry powder,1314
cayenne,1303
light brown sugar,1277
feta cheese,1267
beef broth,1261
salsa,1255
green pepper,1254
cider vinegar,1231
bananas,1207
turmeric,1199
sharp cheddar cheese,1177
scallions,1146
sesame seeds,1145
chives,1139
white sugar,1138
black beans,1125
ground beef,1092
black olives,1068
whole wheat flour,1063
allspice,1042
green bell pepper,1037
prepared mustard,1023
ground coriander,1007
maple syrup,998
pure vanilla extract,988
red wine,981
shortening,977
vegetable broth,975
avocado,972
boiling water,971
white vinegar,971
evaporated milk,959
mushrooms,958
apples,953
lettuce,946
capers,931
swiss cheese,907
molasses,903
clove,895
lime,878
flat leaf parsley,877
shrimp,877
flour tortillas,876
chicken,861
cold water,857
fresh chives,852
fresh rosemary,847
cherry tomatoes,845
yellow onion,845
dark brown sugar,842
seasoning salt,834
blueberries,829
pine nuts,828
low sodium chicken broth,827
fresh dill,827
cucumber,822
hot water,809
dried parsley,808
icing sugar,797
fresh lime juice,790
provolone cheese,789
coconut,788
plain yogurt,779
green chilies,778
skim milk,777
orange zest,769
rosemary,762
ground allspice,749
coconut milk,743
boneless skinless chicken breasts,742
chicken breasts,728
celery seed,725
white wine vinegar,715
shallot,705
cooked rice,704
apple cider vinegar,703
mushroom,695
cream of tartar,693
fish sauce,690
scallion,689
ground pepper,687
spinach,684
celery ribs,678
apple,676
dry sherry,675
banana,667
cabbage,664
corn,654
dried cranberries,652
crushed tomatoes,648
cocoa powder,646
of fresh mint,643
heavy whipping cream,640
mustard,639
orange,636
rice,634
cornmeal,633
ham,632
dried rosemary,632
rolled oats,620
rice vinegar,611
applesauce,587
fresh mushrooms,586
peanut butter,586
basil leaves,585
dry red wine,583
ricotta cheese,581
fresh oregano,575
shallots,574
green beans,573
warm water,564
corn tortillas,564
barbecue sauce,561
active dry yeast,560
lemons,550
tortilla chips,545
beer,545
Velveeta cheese,539
pasta,527
chickpeas,521
bell pepper,509
kidney beans,508
plum tomatoes,507
broccoli,505
romano cheese,502
blue cheese,502
lemon peel,501
parmigiano-reggiano cheese,493
Cool Whip,490
garam masala,490
peanuts,486
coarse salt,484
cracked black pepper,481
brandy,481
spaghetti,480
tomato puree,478
potato,478
sherry wine,475
fresh spinach,470
gingerroot,469
flaked coconut,468
sage,448
lean ground beef,445
strawberries,445
bread flour,444
gruyere cheese,443
ground turmeric,442
mint leaf,440
